Category,Keywords,Keywords_and_1,Keywords_and_2,Exclusion,Keywords_verb,Keywords_verb_and_1,Keywords_verb_and_2,Verbatim_exclusion,Attribute_Or_keyword,Attribute_And_keyword,
Capital One Cup,"""capital one cup"",""capital one"",@CapitalOne_Cup, capitalonecup",cup,,,,,,,,,
Website,"website, ""web sight"", site, login, web, online, ""digital platform"", digital, ""log in"", ""logged in"", logging, server, ""PASSWORD"", ""# PASSWORD""",,,"mobile, app, mobil, ""Digital combat"", ""TheHungerGames""",,,,,,,
Mobile App,"mobile, app, mobil, ""PASSWORD"", ""# PASSWORD"",  ""PASSWORDS"", login, ""log in"", ""logged in"", android, iphone, ios, playstore, ""play store"", appstore, ""app store""",,,"website, ""web sight"", site, web, online, ""digital platform"", digital, logging, server",,,,,,,
Rewards,"cash reward, ""reward points"", ""points"", ""fulfillment"", program, ""mileage"", reward+, incentive, ""rewards program"", miles, rewards, reward, cashback, ""cash back"",  ""cash rewards"",  points, redeem, mile","reward+, award+, points, redeem, redemption, miles, ""rewards checking"", ""reward checking"", incentive, ""reward credit"", ""reward credits"", bonus, bonuses, deal, deals, ""special offer"", ""special offers"", ""special interest"", ""special rate"", ""special rates"", ""mileage"", system, membership, qualifi+, ""deal with"", ""big deal"", great, like, hate, disappointed, earn, get, ""accumulated points"", desirable, happy, unhappy, mad, upset, love, hate, low, best, worst, competitive, attractive, unattractive, pitiful",,,,,,,,,
APR,,,,,"interest, rate, rates, APR, ""finance charge"", ""finance charges"", apr, ""credit rate"", aprs, yields",bankruptcy,,,,,
CREDIT LIMIT,"credit line, ""line of credit"", limit, (spending AND (limit, limits)), ""credit limit"", ""my line"", ""CREDIT LIMITS"", CREDITLIMIT, CREDITLIMITS, ""available credit"", ""credit available"", cl, ""increase limit"", ""release fund"", ""cash limit""",,,,,,,,,,
Fees,"FEE, fees, ""RATES"", mem+fee, annualfee",,,,,,,,,,
Prod Comm,"disclosure, disclosures, ""terms and conditions"", ""fine print""",,,,,,,,,,
Promo Offers,"promo+, ""refer a friend"", incentive, ""chance to win"", ""free $100"", bonus+, ""$176""",,,"insurance company, ""socialist orientation"", hip, ""got promoted"", music, ""new hire""",,,,,,,
Become a Customer,"application, declined, approved, onboarding, ""new customer"", ""new card"", ((apply, applied, new, first) AND (card, credit, cc)), ((rejected, rejecting, reject, denied) AND (card)), approve, activate, onboard, (preapproved AND mail),  ACTIVATE, ACTIVATED, ACTIVATES, ACTIVATING",,,"credit limit increase, ""Capital One complex""",,,,,,,
IVR,"automated voice, ivr, vru, ""phone tree"", ""voice response"", ""interactive voice recognition"", ""voice response unit"", ""automated service"", ""automated system"", ""phone system"", ""telephone system"", ""automated agent"", ""voice prompt"", ""computer voice"", ""voice recognition"", ""voice activated"", ""computer voice"", ""phone prompt"", ""automated phone"", ""automated phones"", ""automated telephone"", ""automated telephones"", ""automated systems"", ""the recording"", ""a recording"", ""phone menu"", ""I V R"", ""phone maze"", ""tree system"", ""answering system"", ""voice system"", ""phone tree"", ""phone prompts"", ""recorded message"", ""recorded voice"", ""prerecorded message"", ""prerecorded voice"", ""V R U"", ""automatic voice system""",,,"""error message"", access, ""system issue"", blocked, ""security questions"", password+, denied, online, ""log in"", logging, ""logging in"", ""log on"", smart, ""smart phone""",,,,,,,
Call Center,"call center, ""call centers"", ""call centre"", ""call centres"", ""calling center"", ""800 number"", ""customer service line"", ((holiday) AND (hours, hrs)), ""toll free"", ""telephone banking"", ""contact center"", ""contact centers"", ""cust service"", operation",,,"location, locations, branch, branches, branchs, bank, banks, ""sit down"", texting, ""personal phone call"", ""chatting on call"", ""phone app"", ""phone bill"", alerts, ""BILL PAY"", ""AS BILL PAY AS"", ""BILL PAYMENT"", ""BILL PAYMENTS"", ""BILL PAYS"", BILLPAY, BILLPAYS, ""BILLS PAY"", mobile, ""Verid Successful"", ""cust req wire xfer""",,,,,,,
Disputes/Fraud,"phishing, fro, breach, hack, ""invalid charge"", ""invalid charges"", fraud+, fraulent, fradulant, ""never authorized"", ""did not authorize"", scam+, unauthor+, ((identity, id, ""social security number"", ssn, ""ss#"", ""ssns"", ""social security"", money, cash, funds, checks) AND (steal, stealing, steals, stole, stolen, theft, thieves, defraud, defrauds, defrauding, scam, scammed, scamming, scams, thief, bogus, suspicious)), skim+, conterfeit, misappropriat+, questionable, ""out of the ordinary"", ""fraud protection"", ""misus+ card"", ""mass reissue"", compromise+, target, disput+, ""charged twice"", ""charged multiple"", claim, claims, ((overcharge, overcharges, overcharged) AND (business)), prov, provisional",,,"not steal, ""you steal"", ""security question"", ""social security checks"", ""not steal"", levy, lien, garnishment, ""you claim"", ""your claim"" , ""security questions"", ""user id"", login, ""you committed theft"", payment, payments, loans",,,,,,,
Threat/Lawsuit,"threaten to, ""threatened to"", ""threatening to"", ""ready to"", ""about to"", considering, ""thinking about"", contemplat+","move, moving, pull, pulling, leave, remove, ""transfer to"" ""transfer assets to"", ""transfer money"" ""transfer accounts"" ""transfer his"", ""take his"", ""take her"", ""take their"" ""take my"", ""taking his"", ""taking her"", ""taking their"", ""taking my"", ""give up""",,,,,,,,,
Design Thinking/Digital Transformation,"""design thinking"",""digital transformation"",digitaltransformation, x93design AND thinkingx94",,,,,,,,,,
Travel notice,"travel, travelling","inform, notice, notify",,,,,,,,,
Payment,"pay, paying, payment, payments",,,,,,,,,,
